client_id,ticker,sector,collateral_value_vnd,loan_vnd,ltv,exposure_vnd,margin_call_trigger,force_sell_trigger
C088,VHM,Real estate,46000000000,22068092067.0,0.4797411318808031,22068092067.0,0.6,0.7
C089,SSI,Securities,53000000000,26577787898.0,0.501467696183662,26577787898.0,0.6,0.7
C090,VCI,Securities,56000000000,30424095002.0,0.5432874107493195,30424095002.0,0.6,0.7
C091,HCM,Securities,44000000000,13937391794.0,0.3167589044042336,13937391794.0,0.6,0.7
C092,VCI,Securities,9000000000,4936258317.0,0.5484731463755872,4936258317.0,0.6,0.7
C093,VCI,Securities,17000000000,11318937230.0,0.6658198370430533,11318937230.0,0.6,0.7
C094,VIX,Securities,2000000000,762655242.0,0.38132762098057954,762655242.0,0.6,0.7
C095,CTS,Securities,50000000000,14072320945.0,0.28144641889646616,14072320945.0,0.6,0.7
C096,HCM,Securities,66000000000,24442072527.0,0.3703344322256985,24442072527.0,0.6,0.7
C097,VPB,Banking,46000000000,22555387257.0,0.4903345055932956,22555387257.0,0.6,0.7
C098,TCB,Banking,11000000000,5172486045.0,0.47022600410208815,5172486045.0,0.6,0.7
C099,VND,Securities,48000000000,23979962635.0,0.4995825548970292,23979962635.0,0.6,0.7
C100,HPG,Steel,58000000000,30856733475.0,0.5320126461171675,30856733475.0,0.6,0.7
C101,VHM,Real estate,50000000000,20362709045.0,0.4072541808928831,20362709045.0,0.6,0.7
C102,VPB,Banking,45000000000,12886217997.0,0.2863603999359583,12886217997.0,0.6,0.7
C103,BSI,Securities,7000000000,3473289632.0,0.4961842331115342,3473289632.0,0.6,0.7
C104,BSI,Securities,23000000000,9269550433.0,0.40302393186716984,9269550433.0,0.6,0.7
C105,HPG,Steel,18000000000,9065079729.0,0.503615540523294,9065079729.0,0.6,0.7
C106,HCM,Securities,13000000000,8241726463.0,0.6339789587022071,8241726463.0,0.6,0.7
C107,HPG,Steel,34000000000,16578413570.0,0.4876003991294381,16578413570.0,0.6,0.7
C108,MBS,Securities,42000000000,12868189501.0,0.30638546430912894,12868189501.0,0.6,0.7
C109,VIX,Securities,38000000000,11295377451.0,0.29724677502504604,11295377451.0,0.6,0.7
C110,HPG,Steel,71000000000,45841696157.0,0.645657692353225,45841696157.0,0.6,0.7
C111,VPB,Banking,30000000000,18046885386.0,0.6015628461892533,18046885386.0,0.6,0.7
C112,HCM,Securities,51000000000,20326126789.0,0.39855150566599507,20326126789.0,0.6,0.7
C113,VND,Securities,63000000000,40757104541.0,0.6469381673224166,40757104541.0,0.6,0.7
C114,MBS,Securities,54000000000,18435314056.0,0.34139470473469474,18435314056.0,0.6,0.7
C115,VPB,Banking,9000000000,4710840488.0,0.5234267208491135,4710840488.0,0.6,0.7
C116,FTS,Securities,60000000000,32657139450.0,0.5442856574948748,32657139450.0,0.6,0.7
C117,TCB,Banking,52000000000,27594103787.0,0.5306558420589731,27594103787.0,0.6,0.7
C118,TCB,Banking,50000000000,16355839823.0,0.3271167964591074,16355839823.0,0.6,0.7
C119,SHS,Securities,49000000000,30540232422.0,0.6232700494262522,30540232422.0,0.6,0.7
C120,VPB,Banking,64000000000,21163809457.0,0.33068452276966287,21163809457.0,0.6,0.7
